ZIP Code,Population
77003,10508.0
77004,34079.0
77005,26187.0
77006,21144.0
77007,31987.0
77008,31418.0
77015,55635.0
77018,27020.0
77019,20350.0
77020,26777.0
77021,26036.0
77024,36791.0
77025,27413.0
77027,15510.0
77028,15076.0
77030,10664.0
77031,17711.0
77034,37925.0
77035,35989.0
77036,72950.0
77039,28711.0
77040,46898.0
77041,37168.0
77042,38335.0
77044,35696.0
77045,33820.0
77046,967.0
77051,15216.0
77055,44249.0
77056,17515.0
77057,40086.0
77061,25519.0
77062,25760.0
77063,36299.0
77064,46509.0
77065,38585.0
77069,16764.0
77072,59442.0
77077,53659.0
77079,31002.0
77081,44070.0
77083,73164.0
77088,53887.0
77092,35087.0
77095,69927.0
77096,36227.0
77098,13091.0
77301,31796.0
77304,24426.0
77318/77378,13804.0
77327,21089.0
77331,6124.0
77336,11699.0
77338,36257.0
77339,40683.0
77345,29292.0
77346,57329.0
77351,32683.0
77354,34551.0
77355,25855.0
77356,24851.0
77357,5225.0
77363,3471.0
77365,26175.0
77373,55485.0
77375,43088.0
77380,26091.0
77386,44686.0
77388,41866.0
77396,47623.0
77401,18130.0
77407,35057.0
77423,9739.0
77429,76437.0
77433,60324.0
77441,5647.0
77445,12662.0
77447,13186.0
77449,99450.0
77450,73269.0
77459,59800.0
77469,38364.0
77477,35608.0
77478,24084.0
77479,81466.0
77484,11370.0
77493,24577.0
77494,79117.0
77498,52693.0
77506,36225.0
77510,14533.0
77511,46333.0
77514,4430.0
77518,8667.0
77520,37928.0
77521,53091.0
77523,18378.0
77532,28394.0
77535,30946.0
77536,31960.0
77539,41090.0
77541,17826.0
77546,49979.0
77550,22134.0
77554,8599.0
77563,9836.0
77568,14886.0
77571,36580.0
77573,75772.0
77575,16725.0
77581,44451.0
77587,17052.0
77590,30675.0
77598,24538.0
77650,1221.0
